Index I_lower I_upper BC_lower BC_upper RC_lower RC_upper Units Res Molecular
CN1 4142.125 4177.125 4080.125 4117.625 4244.125 4284.125 mag 10.3 1
CN2 4142.125 4177.125 4083.875 4096.375 4244.125 4284.125 mag 10.3 1
Ca4227 4222.25 4234.75 4211.0 4219.75 4241.0 4251.0 A 10.3 0
G4300 4281.375 4316.375 4266.375 4282.625 4318.875 4335.125 A 9.7 0
Fe4383 4369.125 4420.375 4359.125 4370.375 4442.875 4455.375 A 9.3 0
Ca4455 4452.125 4474.625 4445.875 4454.625 4477.125 4492.125 A 9.1 0
Fe4531 4514.25 4559.25 4504.25 4514.25 4560.5 4579.25 A 8.9 0
Fe4668 4634.0 4720.25 4611.5 4630.25 4742.75 4756.5 A 8.7 0
Hbeta 4847.875 4876.625 4827.875 4847.875 4876.625 4891.625 A 8.4 0
Fe5015 4977.75 5054.0 4946.5 4977.75 5054.0 5065.25 A 8.4 0
Mg1 5069.125 5134.125 4895.125 4957.625 5301.125 5366.125 mag 8.4 1
Mg2 5154.125 5196.625 4895.125 4957.625 5301.125 5366.125 mag 8.4 1
Mgb 5160.125 5192.625 5142.625 5161.375 5191.375 5206.375 A 8.4 0
Fe5270 5245.65 5285.65 5233.15 5248.15 5285.65 5318.15 A 8.4 0
Fe5335 5312.125 5352.125 5304.625 5315.875 5353.375 5363.375 A 8.4 0
Fe5406 5387.5 5415.0 5376.25 5387.5 5415.0 5425.0 A 8.4 0
Fe5709 5696.625 5720.375 5672.875 5696.625 5722.875 5736.625 A 9.0 0
Fe5782 5776.625 5796.625 5765.375 5775.375 5797.875 5811.625 A 9.3 0
NaD 5876.875 5909.375 5860.625 5875.625 5922.125 5948.125 A 9.6 0
TiO1 5936.625 5994.125 5816.625 5849.125 6038.625 6103.625 mag 9.8 1
TiO2 6189.625 6272.125 6066.625 6141.625 6372.625 6415.125 mag 10.0 1
HdeltaA 4083.5 4122.25 4041.6 4079.75 4128.5 4161.0 A 10.9 0
HgammaA 4319.75 4363.5 4283.5 4319.75 4367.25 4419.75 A 9.5 0
HdeltaF 4091.0 4112.25 4057.25 4088.5 4114.75 4137.25 A 10.9 0
HgammaF 4331.25 4352.25 4283.5 4319.75 4354.75 4384.75 A 9.5 0
