#HdeltaA HdeltaF   CN1       CN2       Ca4227   G4300    HgammaA     HgammaF   Fe4383 Ca4455 Fe4531 Fe4668 Hbeta Fe5015 Mg1 Mg2 Mgb Fe5270 Fe5335 Fe5406 Fe5709 Fe5782 NaD TiO1 TiO2
0.00 0.000  0.00  0.000  0.000 0.00   0.000  0.000  0.00  0.000 0.00 0.00 0.000 0.00 0.00 0.00 0.000  0.00 0.000 0.000 0.00  0.000 0.000 0.00 0.00
-0.00171 0.000734  1.28e-05  0.000215  0.000353 0.00290   0.000143  -5.90e-06  0.00234  -0.000227 0.00251 -0.00167 -0.000244 -0.00373 6.36e-05 3.22e-05 0.000511  -1.19e-05 0.00160 0.000292 -4.05e-06  0.000375 0.000765 2.12e-05 0.00
-0.00654  0.00278  9.95e-05  0.000467  0.00132  0.0108	  0.000711   0.000122  0.00964	 -0.00164 0.00816 -0.00477  -0.00130  -0.0136 0.000163 0.000133  0.00153   0.000291 0.00598  0.00147   0.00128  0.000389  0.00139 0.000348 0.00
 -0.0146  0.00634  0.000327  0.000952  0.00263  0.0230	  0.00156    0.000444   0.0213	 -0.00345  0.0183 -0.00994  -0.00358  -0.0290 0.000148 9.15e-05  0.00359    0.00173  0.0142  0.00376   0.00320  0.000306  0.00291 0.000121 0.00
 -0.0258   0.0113  0.000528  0.00175   0.00477  0.0406	  0.00231     0.00139   0.0370	 -0.00636  0.0302  -0.0177  -0.00675  -0.0475 0.000309 0.000291  0.00677    0.00267  0.0236  0.00755   0.00493  4.768e-5  0.00517 0.000200 0.00
 -0.0396   0.0179  0.000858  0.00259   0.00733  0.0619	  0.00302     0.00324   0.0577	  -0.0100  0.0479  -0.0263   -0.0113  -0.0693 0.000395 0.000142   0.0107    0.00451  0.0361   0.0131   0.00800 -0.000511  0.00739 0.000299 0.00
 -0.0558   0.0262  0.00117   0.00365   0.0100   0.0869	  0.00290     0.00644   0.0818	  -0.0144  0.0665  -0.0355   -0.0174  -0.0937 0.000646 0.000310   0.0173    0.00674  0.0476   0.0210    0.0110  -0.00153   0.0112 0.000400 0.00
 -0.0742   0.0362  0.00158   0.00480   0.0136   0.115	  0.00195      0.0115    0.109	  -0.0195  0.0868  -0.0483   -0.0255   -0.122 0.000730 0.000337   0.0251    0.00913  0.0593   0.0313    0.0144  -0.00273   0.0148 0.000521 0.00
 -0.0943   0.0480  0.00200   0.00611   0.0174   0.145	 -4.3e-05      0.0187    0.140	  -0.0259   0.109  -0.0607   -0.0352   -0.146 0.000983 0.000638   0.0341     0.0110  0.0709   0.0445    0.0188  -0.00383   0.0190 0.000559 0.00
  -0.115   0.0617  0.00244   0.00748   0.0215   0.178	 -0.00370      0.0287    0.175	  -0.0327   0.133  -0.0742   -0.0466   -0.169  0.00123 0.000589   0.0451     0.0145  0.0797   0.0603    0.0240  -0.00622   0.0238 0.000799 0.00
  -0.138   0.0771  0.00290   0.00895   0.0259   0.213	 -0.00910      0.0417    0.213	  -0.0412   0.157  -0.0896   -0.0599   -0.190  0.00152 0.000891   0.0563     0.0167  0.0876   0.0784    0.0284  -0.00874   0.0297 0.000609 0.00
  -0.161   0.0945  0.00334   0.0103    0.0307   0.248	 -0.0158       0.0576    0.254	  -0.0506   0.183   -0.103   -0.0744   -0.205  0.00188 0.000811   0.0673     0.0201  0.0922   0.0987    0.0341   -0.0102   0.0363 0.000736 0.00
  -0.185    0.113  0.00382   0.0118    0.0359   0.284	 -0.0247       0.0767    0.299	  -0.0607   0.208   -0.119   -0.0910   -0.221  0.00214  0.00107   0.0790     0.0242  0.0957    0.120    0.0396   -0.0133   0.0432 0.000913 0.00
  -0.209    0.134  0.00429   0.0132    0.0414   0.320	 -0.0354       0.0989    0.347	  -0.0725   0.233   -0.134    -0.107   -0.230  0.00233  0.00109   0.0898     0.0265  0.0966    0.142    0.0464   -0.0161   0.0513  0.00111 0.00
  -0.233    0.156  0.00474   0.0147    0.0471   0.356	 -0.0479        0.123    0.399	  -0.0865   0.258   -0.149    -0.125   -0.231  0.00270  0.00121    0.100     0.0288  0.0948    0.165    0.0535   -0.0185   0.0591 0.000995 0.00
  -0.257    0.179  0.00513   0.0161    0.0532   0.392	 -0.0623        0.151    0.454	   -0.101   0.283   -0.166    -0.145   -0.230  0.00286  0.00133    0.109     0.0309  0.0922    0.188    0.0606   -0.0207   0.0676  0.00117 0.00
  -0.280    0.203  0.00561   0.0174    0.0594   0.428	 -0.0781        0.181    0.513	   -0.118   0.307   -0.184    -0.165   -0.223  0.00322  0.00159    0.118     0.0326  0.0876    0.210    0.0685   -0.0238   0.0755  0.00117 0.00
