#HdeltaA HdeltaF CN1    CN2      Ca4227  G4300 HgammaA HgammaF Fe4383 Ca4455 Fe4531 Fe4668 Hbeta Fe5015 Mg1 Mg2 Mgb Fe5270 Fe5335 Fe5406 Fe5709 Fe5782 NaD TiO1 TiO2
1.000   1.000   1.000    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.00
1.000   1.000   1.000    0.9984 1.002 0.9997 0.9999 1.000 1.000 1.003 0.999 1.000 1.000 1.002 0.999 1.000 1.000 1.001 1.002 1.002 1.001 1.003 1.000 1.000 1.00
1.001	1.001   1.001	 1.0001 1.009 0.9990 0.9998 1.002 1.003 1.013 0.999 1.003 1.002 1.010 0.999 1.000 1.004 1.007 1.010 1.011 1.003 1.013 1.002 0.990 1.00
1.002	1.003	1.001	 1.0016 1.021 0.9980 0.9996 1.005 1.007	1.029 0.999 1.006 1.004 1.022 1.001 1.000 1.009	1.015 1.023 1.025 1.007 1.031 1.004 1.000 1.00
1.004	1.005	1.003	 1.0016 1.038 0.9966 0.9995 1.009 1.012	1.053 0.999 1.012 1.008 1.038 1.002 1.000 1.016	1.027 1.041 1.045 1.014 1.056 1.008 0.999 1.00
1.007	1.008	1.004	 1.0046 1.061 0.9950 0.9995 1.014 1.019	1.082 1.000 1.019 1.013 1.057 1.005 1.002 1.026	1.041 1.065 1.071 1.021 1.088 1.014 1.000 1.00
1.010	1.012	1.007	 1.0059 1.089 0.9933 0.9996 1.020 1.027	1.119 1.001 1.027 1.020 1.080 1.006 1.003 1.038	1.058 1.095 1.103 1.031 1.128 1.021 0.999 1.00
1.014	1.017	1.009	 1.0092 1.122 0.9915  1.000 1.027 1.037	1.162 1.003 1.038 1.028 1.106 1.010 1.004 1.053	1.077 1.132 1.141 1.043 1.176 1.029 1.000 1.00
1.018	1.022	1.012	 1.0108 1.161 0.9899  1.001 1.035 1.048	1.213 1.007 1.050 1.037 1.133 1.012 1.004 1.070	1.099 1.174 1.184 1.057 1.231 1.040 1.003 1.00
1.023	1.029	1.015	 1.0138 1.207 0.9884  1.002 1.043 1.060	1.270 1.012 1.063 1.049 1.161 1.015 1.005 1.089	1.121 1.224 1.234 1.074 1.297 1.052 1.000 1.00
1.028	1.036	1.020	 1.0167 1.259 0.9871  1.004 1.053 1.073	1.334 1.019 1.078 1.062 1.191 1.018 1.005 1.110	1.146 1.281 1.289 1.095 1.371 1.067 1.012 1.00
1.034	1.043	1.024	 1.0217 1.319 0.9866  1.006 1.064 1.087	1.406 1.027 1.095 1.078 1.221 1.019 1.008 1.133	1.171 1.345 1.349 1.118 1.453 1.083 1.012 1.00
1.040	1.051	1.028	 1.0262 1.387 0.9866  1.009 1.075 1.101	1.485 1.038 1.113 1.095 1.252 1.023 1.008 1.158	1.198 1.416 1.416 1.145 1.547 1.102 1.012 1.00
1.047	1.061	1.032	 1.0310 1.463 0.9874  1.013 1.087 1.116	1.573 1.051 1.133 1.115 1.283 1.027 1.011 1.185	1.227 1.495 1.487 1.175 1.651 1.123 1.012 1.00
1.055	1.071	1.037	 1.0362 1.550 0.9891  1.018 1.099 1.132	1.671 1.066 1.154 1.138 1.313 1.029 1.013 1.214	1.257 1.581 1.565 1.209 1.765 1.147 1.021 1.00
1.062	1.081	1.044	 1.0424 1.646 0.9916  1.023 1.113 1.148	1.776 1.084 1.178 1.163 1.343 1.032 1.015 1.245	1.288 1.674 1.647 1.249 1.890 1.174 1.021 1.00
1.071	1.093	1.048	 1.0491 1.753 0.9952  1.030 1.127 1.163	1.893 1.104 1.202 1.191 1.372 1.034 1.017 1.278	1.322 1.774 1.735 1.291 2.029 1.203 1.021 1.00
